['Jul 07, 2020', 'active cases', '27627']['Jul 07, 2020', 'new cases', '232']['Jul 07, 2020', 'new deaths', '9']['Jul 07, 2020', 'new recoveries', '232']
['Jul 08, 2020', 'active cases', '27512']['Jul 08, 2020', 'new cases', '267']['Jul 08, 2020', 'new deaths', '18']['Jul 08, 2020', 'new recoveries', '267']
['Jul 09, 2020', 'active cases', '27530']['Jul 09, 2020', 'new cases', '371']['Jul 09, 2020', 'new deaths', '26']['Jul 09, 2020', 'new recoveries', '371']
['Jul 10, 2020', 'active cases', '27513']['Jul 10, 2020', 'new cases', '321']['Jul 10, 2020', 'new deaths', '11']['Jul 10, 2020', 'new recoveries', '321']
['Jul 11, 2020', 'active cases', '27358']['Jul 11, 2020', 'new cases', '221']['Jul 11, 2020', 'new deaths', '11']['Jul 11, 2020', 'new recoveries', '221']
['Jul 12, 2020', 'active cases', '27386']['Jul 12, 2020', 'new cases', '243']['Jul 12, 2020', 'new deaths', '14']['Jul 12, 2020', 'new recoveries', '243']
['Jul 13, 2020', 'active cases', '27567']['Jul 13, 2020', 'new cases', '565']['Jul 13, 2020', 'new deaths', '10']['Jul 13, 2020', 'new recoveries', '565']
['Jul 14, 2020', 'active cases', '27563']['Jul 14, 2020', 'new cases', '331']['Jul 14, 2020', 'new deaths', '6']['Jul 14, 2020', 'new recoveries', '331']
['Jul 15, 2020', 'active cases', '27583']['Jul 15, 2020', 'new cases', '343']['Jul 15, 2020', 'new deaths', '8']['Jul 15, 2020', 'new recoveries', '343']
['Jul 16, 2020', 'active cases', '27655']['Jul 16, 2020', 'new cases', '435']['Jul 16, 2020', 'new deaths', '12']['Jul 16, 2020', 'new recoveries', '435']
['Jul 17, 2020', 'active cases', '4190']['Jul 17, 2020', 'new cases', '405']['Jul 17, 2020', 'new deaths', '17']['Jul 17, 2020', 'new recoveries', '405']
['Jul 18, 2020', 'active cases', '4283']['Jul 18, 2020', 'new cases', '330']['Jul 18, 2020', 'new deaths', '12']['Jul 18, 2020', 'new recoveries', '330']
['Jul 19, 2020', 'active cases', '4476']['Jul 19, 2020', 'new cases', '339']['Jul 19, 2020', 'new deaths', '9']['Jul 19, 2020', 'new recoveries', '339']
['Jul 20, 2020', 'active cases', '4835']['Jul 20, 2020', 'new cases', '786']['Jul 20, 2020', 'new deaths', '4']['Jul 20, 2020', 'new recoveries', '786']
['Jul 21, 2020', 'active cases', '5119']['Jul 21, 2020', 'new cases', '573']['Jul 21, 2020', 'new deaths', '6']['Jul 21, 2020', 'new recoveries', '573']
['Jul 22, 2020', 'active cases', '5273']['Jul 22, 2020', 'new cases', '543']['Jul 22, 2020', 'new deaths', '4']['Jul 22, 2020', 'new recoveries', '543']
['Jul 23, 2020', 'active cases', '5320']['Jul 23, 2020', 'new cases', '432']['Jul 23, 2020', 'new deaths', '8']['Jul 23, 2020', 'new recoveries', '432']
['Jul 24, 2020', 'active cases', '5496']['Jul 24, 2020', 'new cases', '534']['Jul 24, 2020', 'new deaths', '4']['Jul 24, 2020', 'new recoveries', '534']
['Jul 25, 2020', 'active cases', '5597']['Jul 25, 2020', 'new cases', '350']['Jul 25, 2020', 'new deaths', '7']['Jul 25, 2020', 'new recoveries', '350']
['Jul 26, 2020', 'active cases', '5708']['Jul 26, 2020', 'new cases', '355']['Jul 26, 2020', 'new deaths', '4']['Jul 26, 2020', 'new recoveries', '355']
['Jul 27, 2020', 'active cases', '5885']['Jul 27, 2020', 'new cases', '686']['Jul 27, 2020', 'new deaths', '4']['Jul 27, 2020', 'new recoveries', '686']
['Jul 28, 2020', 'active cases', '5997']['Jul 28, 2020', 'new cases', '397']['Jul 28, 2020', 'new deaths', '11']['Jul 28, 2020', 'new recoveries', '397']
['Jul 29, 2020', 'active cases', '6131']['Jul 29, 2020', 'new cases', '476']['Jul 29, 2020', 'new deaths', '11']['Jul 29, 2020', 'new recoveries', '476']
