['Jun 29, 2020', 'active cases', '228560']['Jun 29, 2020', 'new cases', '6719']['Jun 29, 2020', 'new deaths', '93']['Jun 29, 2020', 'new recoveries', '6719']
['Jun 30, 2020', 'active cases', '225879']['Jun 30, 2020', 'new cases', '6693']['Jun 30, 2020', 'new deaths', '154']['Jun 30, 2020', 'new recoveries', '6693']
['Jul 01, 2020', 'active cases', '221938']['Jul 01, 2020', 'new cases', '6556']['Jul 01, 2020', 'new deaths', '216']['Jul 01, 2020', 'new recoveries', '6556']
['Jul 02, 2020', 'active cases', '222504']['Jul 02, 2020', 'new cases', '6760']['Jul 02, 2020', 'new deaths', '147']['Jul 02, 2020', 'new recoveries', '6760']
['Jul 03, 2020', 'active cases', '220131']['Jul 03, 2020', 'new cases', '6718']['Jul 03, 2020', 'new deaths', '176']['Jul 03, 2020', 'new recoveries', '6718']
['Jul 04, 2020', 'active cases', '217609']['Jul 04, 2020', 'new cases', '6632']['Jul 04, 2020', 'new deaths', '168']['Jul 04, 2020', 'new recoveries', '6632']
['Jul 05, 2020', 'active cases', '220340']['Jul 05, 2020', 'new cases', '6736']['Jul 05, 2020', 'new deaths', '134']['Jul 05, 2020', 'new recoveries', '6736']
['Jul 06, 2020', 'active cases', '223237']['Jul 06, 2020', 'new cases', '6611']['Jul 06, 2020', 'new deaths', '135']['Jul 06, 2020', 'new recoveries', '6611']
['Jul 07, 2020', 'active cases', '219856']['Jul 07, 2020', 'new cases', '6368']['Jul 07, 2020', 'new deaths', '198']['Jul 07, 2020', 'new recoveries', '6368']
['Jul 08, 2020', 'active cases', '217614']['Jul 08, 2020', 'new cases', '6562']['Jul 08, 2020', 'new deaths', '173']['Jul 08, 2020', 'new recoveries', '6562']
['Jul 09, 2020', 'active cases', '215142']['Jul 09, 2020', 'new cases', '6509']['Jul 09, 2020', 'new deaths', '176']['Jul 09, 2020', 'new recoveries', '6509']
['Jul 10, 2020', 'active cases', '213851']['Jul 10, 2020', 'new cases', '6635']['Jul 10, 2020', 'new deaths', '174']['Jul 10, 2020', 'new recoveries', '6635']
['Jul 11, 2020', 'active cases', '211896']['Jul 11, 2020', 'new cases', '6611']['Jul 11, 2020', 'new deaths', '188']['Jul 11, 2020', 'new recoveries', '6611']
['Jul 12, 2020', 'active cases', '214766']['Jul 12, 2020', 'new cases', '6615']['Jul 12, 2020', 'new deaths', '130']['Jul 12, 2020', 'new recoveries', '6615']
['Jul 13, 2020', 'active cases', '218239']['Jul 13, 2020', 'new cases', '6537']['Jul 13, 2020', 'new deaths', '104']['Jul 13, 2020', 'new recoveries', '6537']
['Jul 14, 2020', 'active cases', '215508']['Jul 14, 2020', 'new cases', '6248']['Jul 14, 2020', 'new deaths', '175']['Jul 14, 2020', 'new recoveries', '6248']
['Jul 15, 2020', 'active cases', '211350']['Jul 15, 2020', 'new cases', '6422']['Jul 15, 2020', 'new deaths', '156']['Jul 15, 2020', 'new recoveries', '6422']
['Jul 16, 2020', 'active cases', '209168']['Jul 16, 2020', 'new cases', '6428']['Jul 16, 2020', 'new deaths', '167']['Jul 16, 2020', 'new recoveries', '6428']
['Jul 17, 2020', 'active cases', '207707']['Jul 17, 2020', 'new cases', '6406']['Jul 17, 2020', 'new deaths', '186']['Jul 17, 2020', 'new recoveries', '6406']
['Jul 18, 2020', 'active cases', '206327']['Jul 18, 2020', 'new cases', '6234']['Jul 18, 2020', 'new deaths', '124']['Jul 18, 2020', 'new recoveries', '6234']
['Jul 19, 2020', 'active cases', '208860']['Jul 19, 2020', 'new cases', '6109']['Jul 19, 2020', 'new deaths', '95']['Jul 19, 2020', 'new recoveries', '6109']
['Jul 20, 2020', 'active cases', '211457']['Jul 20, 2020', 'new cases', '5940']['Jul 20, 2020', 'new deaths', '85']['Jul 20, 2020', 'new recoveries', '5940']
