['Jun 11, 2020', 'active cases', '11277']['Jun 11, 2020', 'new cases', '399']['Jun 11, 2020', 'new deaths', '27']['Jun 11, 2020', 'new recoveries', '399']
['Jun 12, 2020', 'active cases', '11725']['Jun 12, 2020', 'new cases', '681']['Jun 12, 2020', 'new deaths', '28']['Jun 12, 2020', 'new recoveries', '681']
['Jun 13, 2020', 'active cases', '12112']['Jun 13, 2020', 'new cases', '494']['Jun 13, 2020', 'new deaths', '24']['Jun 13, 2020', 'new recoveries', '494']
['Jun 14, 2020', 'active cases', '12160']['Jun 14, 2020', 'new cases', '382']['Jun 14, 2020', 'new deaths', '9']['Jun 14, 2020', 'new recoveries', '382']
['Jun 15, 2020', 'active cases', '12046']['Jun 15, 2020', 'new cases', '143']['Jun 15, 2020', 'new deaths', '29']['Jun 15, 2020', 'new recoveries', '143']
['Jun 16, 2020', 'active cases', '12191']['Jun 16, 2020', 'new cases', '323']['Jun 16, 2020', 'new deaths', '111']['Jun 16, 2020', 'new recoveries', '323']
['Jun 17, 2020', 'active cases', '9523']['Jun 17, 2020', 'new cases', '430']['Jun 17, 2020', 'new deaths', '28']['Jun 17, 2020', 'new recoveries', '430']
['Jun 18, 2020', 'active cases', '9405']['Jun 18, 2020', 'new cases', '438']['Jun 18, 2020', 'new deaths', '28']['Jun 18, 2020', 'new recoveries', '438']
['Jun 19, 2020', 'active cases', '8463']['Jun 19, 2020', 'new cases', '761']['Jun 19, 2020', 'new deaths', '14']['Jun 19, 2020', 'new recoveries', '761']
['Jun 20, 2020', 'active cases', '8826']['Jun 20, 2020', 'new cases', '602']['Jun 20, 2020', 'new deaths', '16']['Jun 20, 2020', 'new recoveries', '602']
['Jun 21, 2020', 'active cases', '8778']['Jun 21, 2020', 'new cases', '267']['Jun 21, 2020', 'new deaths', '7']['Jun 21, 2020', 'new recoveries', '267']
['Jun 22, 2020', 'active cases', '8845']['Jun 22, 2020', 'new cases', '350']['Jun 22, 2020', 'new deaths', '23']['Jun 22, 2020', 'new recoveries', '350']
['Jun 23, 2020', 'active cases', '9000']['Jun 23, 2020', 'new cases', '485']['Jun 23, 2020', 'new deaths', '57']['Jun 23, 2020', 'new recoveries', '485']
['Jun 24, 2020', 'active cases', '8356']['Jun 24, 2020', 'new cases', '76']['Jun 24, 2020', 'new deaths', '11']['Jun 24, 2020', 'new recoveries', '76']
['Jun 25, 2020', 'active cases', '7783']['Jun 25, 2020', 'new cases', '0']['Jun 25, 2020', 'new deaths', '21']['Jun 25, 2020', 'new recoveries', '0']
['Jun 26, 2020', 'active cases', '8730']['Jun 26, 2020', 'new cases', '1490']['Jun 26, 2020', 'new deaths', '26']['Jun 26, 2020', 'new recoveries', '1490']
['Jun 27, 2020', 'active cases', '8898']['Jun 27, 2020', 'new cases', '490']['Jun 27, 2020', 'new deaths', '8']['Jun 27, 2020', 'new recoveries', '490']
['Jun 28, 2020', 'active cases', '9190']['Jun 28, 2020', 'new cases', '490']['Jun 28, 2020', 'new deaths', '9']['Jun 28, 2020', 'new recoveries', '490']
['Jun 29, 2020', 'active cases', '9075']['Jun 29, 2020', 'new cases', '263']['Jun 29, 2020', 'new deaths', '18']['Jun 29, 2020', 'new recoveries', '263']
['Jun 30, 2020', 'active cases', '9072']['Jun 30, 2020', 'new cases', '508']['Jun 30, 2020', 'new deaths', '30']['Jun 30, 2020', 'new recoveries', '508']
['Jul 01, 2020', 'active cases', '9534']['Jul 01, 2020', 'new cases', '861']['Jul 01, 2020', 'new deaths', '18']['Jul 01, 2020', 'new recoveries', '861']
['Jul 02, 2020', 'active cases', '9471']['Jul 02, 2020', 'new cases', '618']['Jul 02, 2020', 'new deaths', '14']['Jul 02, 2020', 'new recoveries', '618']
['Jul 03, 2020', 'active cases', '9523']['Jul 03, 2020', 'new cases', '546']['Jul 03, 2020', 'new deaths', '18']['Jul 03, 2020', 'new recoveries', '546']
['Jul 04, 2020', 'active cases', '9667']['Jul 04, 2020', 'new cases', '526']['Jul 04, 2020', 'new deaths', '7']['Jul 04, 2020', 'new recoveries', '526']
['Jul 05, 2020', 'active cases', '10124']['Jul 05, 2020', 'new cases', '600']['Jul 05, 2020', 'new deaths', '7']['Jul 05, 2020', 'new recoveries', '600']
['Jul 06, 2020', 'active cases', '9966']['Jul 06, 2020', 'new cases', '165']['Jul 06, 2020', 'new deaths', '13']['Jul 06, 2020', 'new recoveries', '165']
['Jul 07, 2020', 'active cases', '9982']['Jul 07, 2020', 'new cases', '446']['Jul 07, 2020', 'new deaths', '13']['Jul 07, 2020', 'new recoveries', '446']
['Jul 08, 2020', 'active cases', '10166']['Jul 08, 2020', 'new cases', '622']['Jul 08, 2020', 'new deaths', '32']['Jul 08, 2020', 'new recoveries', '622']
['Jul 09, 2020', 'active cases', '9988']['Jul 09, 2020', 'new cases', '583']['Jul 09, 2020', 'new deaths', '14']['Jul 09, 2020', 'new recoveries', '583']
['Jul 10, 2020', 'active cases', '10003']['Jul 10, 2020', 'new cases', '617']['Jul 10, 2020', 'new deaths', '25']['Jul 10, 2020', 'new recoveries', '617']
['Jul 11, 2020', 'active cases', '10364']['Jul 11, 2020', 'new cases', '628']['Jul 11, 2020', 'new deaths', '4']['Jul 11, 2020', 'new recoveries', '628']
['Jul 12, 2020', 'active cases', '10641']['Jul 12, 2020', 'new cases', '627']['Jul 12, 2020', 'new deaths', '3']['Jul 12, 2020', 'new recoveries', '627']
['Jul 13, 2020', 'active cases', '10426']['Jul 13, 2020', 'new cases', '270']['Jul 13, 2020', 'new deaths', '18']['Jul 13, 2020', 'new recoveries', '270']
['Jul 14, 2020', 'active cases', '10830']['Jul 14, 2020', 'new cases', '480']['Jul 14, 2020', 'new deaths', '71']['Jul 14, 2020', 'new recoveries', '480']
['Jul 15, 2020', 'active cases', '11220']['Jul 15, 2020', 'new cases', '390']['Jul 15, 2020', 'new deaths', '20']['Jul 15, 2020', 'new recoveries', '390']
['Jul 16, 2020', 'active cases', '10231']['Jul 16, 2020', 'new cases', '501']['Jul 16, 2020', 'new deaths', '18']['Jul 16, 2020', 'new recoveries', '501']
['Jul 17, 2020', 'active cases', '10526']['Jul 17, 2020', 'new cases', '785']['Jul 17, 2020', 'new deaths', '14']['Jul 17, 2020', 'new recoveries', '785']
['Jul 18, 2020', 'active cases', '10848']['Jul 18, 2020', 'new cases', '812']['Jul 18, 2020', 'new deaths', '9']['Jul 18, 2020', 'new recoveries', '812']
['Jul 19, 2020', 'active cases', '11397']['Jul 19, 2020', 'new cases', '812']['Jul 19, 2020', 'new deaths', '8']['Jul 19, 2020', 'new recoveries', '812']
['Jul 20, 2020', 'active cases', '11217']['Jul 20, 2020', 'new cases', '328']['Jul 20, 2020', 'new deaths', '8']['Jul 20, 2020', 'new recoveries', '328']
['Jul 21, 2020', 'active cases', '10904']['Jul 21, 2020', 'new cases', '548']['Jul 21, 2020', 'new deaths', '13']['Jul 21, 2020', 'new recoveries', '548']
['Jul 22, 2020', 'active cases', '11223']['Jul 22, 2020', 'new cases', '937']['Jul 22, 2020', 'new deaths', '7']['Jul 22, 2020', 'new recoveries', '937']
['Jul 23, 2020', 'active cases', '11674']['Jul 23, 2020', 'new cases', '997']['Jul 23, 2020', 'new deaths', '10']['Jul 23, 2020', 'new recoveries', '997']
['Jul 24, 2020', 'active cases', '12208']['Jul 24, 2020', 'new cases', '1060']['Jul 24, 2020', 'new deaths', '10']['Jul 24, 2020', 'new recoveries', '1060']
['Jul 25, 2020', 'active cases', '12564']['Jul 25, 2020', 'new cases', '956']['Jul 25, 2020', 'new deaths', '4']['Jul 25, 2020', 'new recoveries', '956']
['Jul 26, 2020', 'active cases', '13354']['Jul 26, 2020', 'new cases', '955']['Jul 26, 2020', 'new deaths', '4']['Jul 26, 2020', 'new recoveries', '955']
