['Jun 06, 2020', 'active cases', '37017']['Jun 06, 2020', 'new cases', '273']['Jun 06, 2020', 'new deaths', '72']['Jun 06, 2020', 'new recoveries', '273']
['Jun 07, 2020', 'active cases', '36400']['Jun 07, 2020', 'new cases', '197']['Jun 07, 2020', 'new deaths', '53']['Jun 07, 2020', 'new recoveries', '197']
['Jun 08, 2020', 'active cases', '35869']['Jun 08, 2020', 'new cases', '283']['Jun 08, 2020', 'new deaths', '65']['Jun 08, 2020', 'new recoveries', '283']
['Jun 09, 2020', 'active cases', '34009']['Jun 09, 2020', 'new cases', '286']['Jun 09, 2020', 'new deaths', '79']['Jun 09, 2020', 'new recoveries', '286']
['Jun 10, 2020', 'active cases', '32844']['Jun 10, 2020', 'new cases', '202']['Jun 10, 2020', 'new deaths', '71']['Jun 10, 2020', 'new recoveries', '202']
['Jun 11, 2020', 'active cases', '31772']['Jun 11, 2020', 'new cases', '383']['Jun 11, 2020', 'new deaths', '53']['Jun 11, 2020', 'new recoveries', '383']
['Jun 12, 2020', 'active cases', '30128']['Jun 12, 2020', 'new cases', '163']['Jun 12, 2020', 'new deaths', '56']['Jun 12, 2020', 'new recoveries', '163']
['Jun 13, 2020', 'active cases', '28616']['Jun 13, 2020', 'new cases', '350']['Jun 13, 2020', 'new deaths', '78']['Jun 13, 2020', 'new recoveries', '350']
['Jun 14, 2020', 'active cases', '27403']['Jun 14, 2020', 'new cases', '340']['Jun 14, 2020', 'new deaths', '44']['Jun 14, 2020', 'new recoveries', '340']
['Jun 15, 2020', 'active cases', '27039']['Jun 15, 2020', 'new cases', '304']['Jun 15, 2020', 'new deaths', '26']['Jun 15, 2020', 'new recoveries', '304']
['Jun 16, 2020', 'active cases', '25696']['Jun 16, 2020', 'new cases', '211']['Jun 16, 2020', 'new deaths', '34']['Jun 16, 2020', 'new recoveries', '211']
['Jun 17, 2020', 'active cases', '25054']['Jun 17, 2020', 'new cases', '332']['Jun 17, 2020', 'new deaths', '43']['Jun 17, 2020', 'new recoveries', '332']
['Jun 18, 2020', 'active cases', '24231']['Jun 18, 2020', 'new cases', '335']['Jun 18, 2020', 'new deaths', '66']['Jun 18, 2020', 'new recoveries', '335']
['Jun 19, 2020', 'active cases', '23072']['Jun 19, 2020', 'new cases', '254']['Jun 19, 2020', 'new deaths', '47']['Jun 19, 2020', 'new recoveries', '254']
['Jun 20, 2020', 'active cases', '22743']['Jun 20, 2020', 'new cases', '267']['Jun 20, 2020', 'new deaths', '49']['Jun 20, 2020', 'new recoveries', '267']
['Jun 21, 2020', 'active cases', '22504']['Jun 21, 2020', 'new cases', '226']['Jun 21, 2020', 'new deaths', '24']['Jun 21, 2020', 'new recoveries', '226']
['Jun 22, 2020', 'active cases', '22170']['Jun 22, 2020', 'new cases', '223']['Jun 22, 2020', 'new deaths', '23']['Jun 22, 2020', 'new recoveries', '223']
['Jun 23, 2020', 'active cases', '21103']['Jun 23, 2020', 'new cases', '113']['Jun 23, 2020', 'new deaths', '18']['Jun 23, 2020', 'new recoveries', '113']
['Jun 24, 2020', 'active cases', '20184']['Jun 24, 2020', 'new cases', '190']['Jun 24, 2020', 'new deaths', '30']['Jun 24, 2020', 'new recoveries', '190']
['Jun 25, 2020', 'active cases', '19835']['Jun 25, 2020', 'new cases', '299']['Jun 25, 2020', 'new deaths', '34']['Jun 25, 2020', 'new recoveries', '299']
['Jun 26, 2020', 'active cases', '19173']['Jun 26, 2020', 'new cases', '258']['Jun 26, 2020', 'new deaths', '30']['Jun 26, 2020', 'new recoveries', '258']
['Jun 27, 2020', 'active cases', '18371']['Jun 27, 2020', 'new cases', '175']['Jun 27, 2020', 'new deaths', '8']['Jun 27, 2020', 'new recoveries', '175']
['Jun 28, 2020', 'active cases', '18216']['Jun 28, 2020', 'new cases', '174']['Jun 28, 2020', 'new deaths', '22']['Jun 28, 2020', 'new recoveries', '174']
['Jun 29, 2020', 'active cases', '18031']['Jun 29, 2020', 'new cases', '126']['Jun 29, 2020', 'new deaths', '6']['Jun 29, 2020', 'new recoveries', '126']
['Jun 30, 2020', 'active cases', '17098']['Jun 30, 2020', 'new cases', '142']['Jun 30, 2020', 'new deaths', '23']['Jun 30, 2020', 'new recoveries', '142']
['Jul 01, 2020', 'active cases', '16790']['Jul 01, 2020', 'new cases', '182']['Jul 01, 2020', 'new deaths', '21']['Jul 01, 2020', 'new recoveries', '182']
['Jul 02, 2020', 'active cases', '16595']['Jul 02, 2020', 'new cases', '201']['Jul 02, 2020', 'new deaths', '30']['Jul 02, 2020', 'new recoveries', '201']
['Jul 03, 2020', 'active cases', '16421']['Jul 03, 2020', 'new cases', '225']['Jul 03, 2020', 'new deaths', '15']['Jul 03, 2020', 'new recoveries', '225']
['Jul 04, 2020', 'active cases', '16160']['Jul 04, 2020', 'new cases', '237']['Jul 04, 2020', 'new deaths', '21']['Jul 04, 2020', 'new recoveries', '237']
['Jul 05, 2020', 'active cases', '16181']['Jul 05, 2020', 'new cases', '192']['Jul 05, 2020', 'new deaths', '7']['Jul 05, 2020', 'new recoveries', '192']
['Jul 06, 2020', 'active cases', '16249']['Jul 06, 2020', 'new cases', '209']['Jul 06, 2020', 'new deaths', '8']['Jul 06, 2020', 'new recoveries', '209']
['Jul 07, 2020', 'active cases', '15782']['Jul 07, 2020', 'new cases', '137']['Jul 07, 2020', 'new deaths', '30']['Jul 07, 2020', 'new recoveries', '137']
['Jul 08, 2020', 'active cases', '15135']['Jul 08, 2020', 'new cases', '193']['Jul 08, 2020', 'new deaths', '15']['Jul 08, 2020', 'new recoveries', '193']
['Jul 09, 2020', 'active cases', '15001']['Jul 09, 2020', 'new cases', '216']['Jul 09, 2020', 'new deaths', '12']['Jul 09, 2020', 'new recoveries', '216']
['Jul 10, 2020', 'active cases', '14973']['Jul 10, 2020', 'new cases', '279']['Jul 10, 2020', 'new deaths', '12']['Jul 10, 2020', 'new recoveries', '279']
['Jul 11, 2020', 'active cases', '14848']['Jul 11, 2020', 'new cases', '188']['Jul 11, 2020', 'new deaths', '7']['Jul 11, 2020', 'new recoveries', '188']
['Jul 12, 2020', 'active cases', '14726']['Jul 12, 2020', 'new cases', '236']['Jul 12, 2020', 'new deaths', '9']['Jul 12, 2020', 'new recoveries', '236']
['Jul 13, 2020', 'active cases', '14704']['Jul 13, 2020', 'new cases', '169']['Jul 13, 2020', 'new deaths', '13']['Jul 13, 2020', 'new recoveries', '169']
['Jul 14, 2020', 'active cases', '14466']['Jul 14, 2020', 'new cases', '114']['Jul 14, 2020', 'new deaths', '17']['Jul 14, 2020', 'new recoveries', '114']
['Jul 15, 2020', 'active cases', '14040']['Jul 15, 2020', 'new cases', '162']['Jul 15, 2020', 'new deaths', '13']['Jul 15, 2020', 'new recoveries', '162']
['Jul 16, 2020', 'active cases', '14022']['Jul 16, 2020', 'new cases', '232']['Jul 16, 2020', 'new deaths', '20']['Jul 16, 2020', 'new recoveries', '232']
['Jul 17, 2020', 'active cases', '14007']['Jul 17, 2020', 'new cases', '233']['Jul 17, 2020', 'new deaths', '11']['Jul 17, 2020', 'new recoveries', '233']
['Jul 18, 2020', 'active cases', '13922']['Jul 18, 2020', 'new cases', '252']['Jul 18, 2020', 'new deaths', '14']['Jul 18, 2020', 'new recoveries', '252']
['Jul 19, 2020', 'active cases', '13996']['Jul 19, 2020', 'new cases', '220']['Jul 19, 2020', 'new deaths', '3']['Jul 19, 2020', 'new recoveries', '220']
['Jul 20, 2020', 'active cases', '13960']['Jul 20, 2020', 'new cases', '190']['Jul 20, 2020', 'new deaths', '13']['Jul 20, 2020', 'new recoveries', '190']
['Jul 21, 2020', 'active cases', '13804']['Jul 21, 2020', 'new cases', '128']['Jul 21, 2020', 'new deaths', '15']['Jul 21, 2020', 'new recoveries', '128']
['Jul 22, 2020', 'active cases', '13881']['Jul 22, 2020', 'new cases', '283']['Jul 22, 2020', 'new deaths', '9']['Jul 22, 2020', 'new recoveries', '283']
['Jul 23, 2020', 'active cases', '13966']['Jul 23, 2020', 'new cases', '309']['Jul 23, 2020', 'new deaths', '10']['Jul 23, 2020', 'new recoveries', '309']
['Jul 24, 2020', 'active cases', '13866']['Jul 24, 2020', 'new cases', '255']['Jul 24, 2020', 'new deaths', '5']['Jul 24, 2020', 'new recoveries', '255']
['Jul 25, 2020', 'active cases', '14009']['Jul 25, 2020', 'new cases', '276']['Jul 25, 2020', 'new deaths', '5']['Jul 25, 2020', 'new recoveries', '276']
['Jul 26, 2020', 'active cases', '14133']['Jul 26, 2020', 'new cases', '255']['Jul 26, 2020', 'new deaths', '5']['Jul 26, 2020', 'new recoveries', '255']
['Jul 27, 2020', 'active cases', '14151']['Jul 27, 2020', 'new cases', '170']['Jul 27, 2020', 'new deaths', '5']['Jul 27, 2020', 'new recoveries', '170']
['Jul 28, 2020', 'active cases', '14158']['Jul 28, 2020', 'new cases', '181']['Jul 28, 2020', 'new deaths', '11']['Jul 28, 2020', 'new recoveries', '181']
['Jul 29, 2020', 'active cases', '14169']['Jul 29, 2020', 'new cases', '292']['Jul 29, 2020', 'new deaths', '6']['Jul 29, 2020', 'new recoveries', '292']
