['Jun 19, 2020', 'active cases', '15622']['Jun 19, 2020', 'new cases', '5846']['Jun 19, 2020', 'new deaths', '750']['Jun 19, 2020', 'new recoveries', '5846']
['Jun 20, 2020', 'active cases', '15908']['Jun 20, 2020', 'new cases', '5193']['Jun 20, 2020', 'new deaths', '670']['Jun 20, 2020', 'new recoveries', '5193']
['Jun 21, 2020', 'active cases', '15779']['Jun 21, 2020', 'new cases', '4870']['Jun 21, 2020', 'new deaths', '645']['Jun 21, 2020', 'new recoveries', '4870']
['Jun 22, 2020', 'active cases', '17097']['Jun 22, 2020', 'new cases', '5516']['Jun 22, 2020', 'new deaths', '605']['Jun 22, 2020', 'new recoveries', '5516']
['Jun 23, 2020', 'active cases', '16297']['Jun 23, 2020', 'new cases', '4725']['Jun 23, 2020', 'new deaths', '686']['Jun 23, 2020', 'new recoveries', '4725']
['Jun 24, 2020', 'active cases', '17798']['Jun 24, 2020', 'new cases', '6492']['Jun 24, 2020', 'new deaths', '661']['Jun 24, 2020', 'new recoveries', '6492']
['Jun 25, 2020', 'active cases', '17907']['Jun 25, 2020', 'new cases', '5613']['Jun 25, 2020', 'new deaths', '634']['Jun 25, 2020', 'new recoveries', '5613']
['Jun 26, 2020', 'active cases', '23573']['Jun 26, 2020', 'new cases', '6302']['Jun 26, 2020', 'new deaths', '636']['Jun 26, 2020', 'new recoveries', '6302']
['Jun 27, 2020', 'active cases', '28572']['Jun 27, 2020', 'new cases', '5617']['Jun 27, 2020', 'new deaths', '618']['Jun 27, 2020', 'new recoveries', '5617']
['Jun 28, 2020', 'active cases', '32461']['Jun 28, 2020', 'new cases', '4553']['Jun 28, 2020', 'new deaths', '664']['Jun 28, 2020', 'new recoveries', '4553']
['Jun 29, 2020', 'active cases', '35949']['Jun 29, 2020', 'new cases', '4181']['Jun 29, 2020', 'new deaths', '693']['Jun 29, 2020', 'new recoveries', '4181']
['Jun 30, 2020', 'active cases', '39190']['Jun 30, 2020', 'new cases', '3928']['Jun 30, 2020', 'new deaths', '687']['Jun 30, 2020', 'new recoveries', '3928']
['Jul 01, 2020', 'active cases', '44052']['Jul 01, 2020', 'new cases', '5608']['Jul 01, 2020', 'new deaths', '746']['Jul 01, 2020', 'new recoveries', '5608']
['Jul 02, 2020', 'active cases', '49206']['Jul 02, 2020', 'new cases', '5865']['Jul 02, 2020', 'new deaths', '711']['Jul 02, 2020', 'new recoveries', '5865']
['Jul 03, 2020', 'active cases', '55482']['Jul 03, 2020', 'new cases', '6960']['Jul 03, 2020', 'new deaths', '684']['Jul 03, 2020', 'new recoveries', '6960']
['Jul 04, 2020', 'active cases', '61754']['Jul 04, 2020', 'new cases', '6959']['Jul 04, 2020', 'new deaths', '687']['Jul 04, 2020', 'new recoveries', '6959']
['Jul 05, 2020', 'active cases', '65211']['Jul 05, 2020', 'new cases', '7138']['Jul 05, 2020', 'new deaths', '690']['Jul 05, 2020', 'new recoveries', '7138']
['Jul 06, 2020', 'active cases', '66021']['Jul 06, 2020', 'new cases', '4835']['Jul 06, 2020', 'new deaths', '730']['Jul 06, 2020', 'new recoveries', '4835']
['Jul 07, 2020', 'active cases', '66283']['Jul 07, 2020', 'new cases', '5061']['Jul 07, 2020', 'new deaths', '746']['Jul 07, 2020', 'new recoveries', '5061']
['Jul 08, 2020', 'active cases', '67940']['Jul 08, 2020', 'new cases', '6461']['Jul 08, 2020', 'new deaths', '815']['Jul 08, 2020', 'new recoveries', '6461']
['Jul 09, 2020', 'active cases', '70201']['Jul 09, 2020', 'new cases', '7222']['Jul 09, 2020', 'new deaths', '812']['Jul 09, 2020', 'new recoveries', '7222']
['Jul 10, 2020', 'active cases', '72555']['Jul 10, 2020', 'new cases', '7516']['Jul 10, 2020', 'new deaths', '727']['Jul 10, 2020', 'new recoveries', '7516']
['Jul 11, 2020', 'active cases', '74048']['Jul 11, 2020', 'new cases', '7114']['Jul 11, 2020', 'new deaths', '754']['Jul 11, 2020', 'new recoveries', '7114']
['Jul 12, 2020', 'active cases', '75865']['Jul 12, 2020', 'new cases', '6292']['Jul 12, 2020', 'new deaths', '720']['Jul 12, 2020', 'new recoveries', '6292']
['Jul 13, 2020', 'active cases', '75850']['Jul 13, 2020', 'new cases', '4627']['Jul 13, 2020', 'new deaths', '730']['Jul 13, 2020', 'new recoveries', '4627']
['Jul 14, 2020', 'active cases', '75641']['Jul 14, 2020', 'new cases', '4837']['Jul 14, 2020', 'new deaths', '747']['Jul 14, 2020', 'new recoveries', '4837']
['Jul 15, 2020', 'active cases', '77190']['Jul 15, 2020', 'new cases', '7280']['Jul 15, 2020', 'new deaths', '818']['Jul 15, 2020', 'new recoveries', '7280']
['Jul 16, 2020', 'active cases', '77595']['Jul 16, 2020', 'new cases', '6348']['Jul 16, 2020', 'new deaths', '790']['Jul 16, 2020', 'new recoveries', '6348']
