['Mar 11, 2021', 'active cases', '403125']
['Mar 12, 2021', 'active cases', '405807']
['Mar 13, 2021', 'active cases', '413045']
['Mar 14, 2021', 'active cases', '433406']
['Mar 15, 2021', 'active cases', '420650']
['Mar 16, 2021', 'active cases', '419201']
['Mar 17, 2021', 'active cases', '431493']
['Mar 18, 2021', 'active cases', '440682']
['Mar 19, 2021', 'active cases', '451074']
['Mar 20, 2021', 'active cases', '465519']
['Mar 21, 2021', 'active cases', '489805']
['Mar 22, 2021', 'active cases', '503614']
['Mar 23, 2021', 'active cases', '501825']
['Mar 24, 2021', 'active cases', '509436']
['Mar 25, 2021', 'active cases', '530207']
['Mar 26, 2021', 'active cases', '547628']
['Mar 27, 2021', 'active cases', '567141']
['Mar 28, 2021', 'active cases', '596878']
['Mar 29, 2021', 'active cases', '601853']
['Mar 30, 2021', 'active cases', '599995']
['Mar 31, 2021', 'active cases', '613828']
['Apr 01, 2021', 'active cases', '637693']
['Apr 02, 2021', 'active cases', '653570']
['Apr 03, 2021', 'active cases', '647420']
['Apr 04, 2021', 'active cases', '698519']
['Apr 05, 2021', 'active cases', '681965']
['Apr 06, 2021', 'active cases', '700075']
['Apr 07, 2021', 'active cases', '696121']
['Apr 08, 2021', 'active cases', '678102']
['Apr 09, 2021', 'active cases', '683637']
['Apr 10, 2021', 'active cases', '695558']
['Apr 11, 2021', 'active cases', '693046']
['Apr 12, 2021', 'active cases', '677707']
['Apr 13, 2021', 'active cases', '683078']
['Apr 14, 2021', 'active cases', '681074']
['Apr 15, 2021', 'active cases', '677485']
['Apr 16, 2021', 'active cases', '671689']
['Apr 17, 2021', 'active cases', '670606']
['Apr 18, 2021', 'active cases', '671301']
['Apr 19, 2021', 'active cases', '651568']
['Apr 20, 2021', 'active cases', '652123']
['Apr 21, 2021', 'active cases', '637397']
['Apr 22, 2021', 'active cases', '625798']
['Apr 23, 2021', 'active cases', '637576']
['Apr 24, 2021', 'active cases', '611028']
['Apr 25, 2021', 'active cases', '622411']
['Apr 26, 2021', 'active cases', '573756']
['Apr 27, 2021', 'active cases', '573317']
['Apr 28, 2021', 'active cases', '588023']
['Apr 29, 2021', 'active cases', '574223']
['Apr 30, 2021', 'active cases', '556406']
['May 01, 2021', 'active cases', '547749']
['May 02, 2021', 'active cases', '549017']
['May 03, 2021', 'active cases', '515841']
['May 04, 2021', 'active cases', '497885']
['May 05, 2021', 'active cases', '486582']
['May 06, 2021', 'active cases', '472758']
['May 07, 2021', 'active cases', '457052']
['May 08, 2021', 'active cases', '448982']
['May 09, 2021', 'active cases', '450701']
['May 10, 2021', 'active cases', '413908']
['May 11, 2021', 'active cases', '399666']
['May 12, 2021', 'active cases', '387636']
['May 13, 2021', 'active cases', '375550']
['May 14, 2021', 'active cases', '351519']
['May 15, 2021', 'active cases', '343279']
['May 16, 2021', 'active cases', '350782']
['May 17, 2021', 'active cases', '325475']
['May 18, 2021', 'active cases', '312028']
['May 19, 2021', 'active cases', '304996']
['May 20, 2021', 'active cases', '297470']
['May 21, 2021', 'active cases', '286210']
['May 22, 2021', 'active cases', '289560']
['May 23, 2021', 'active cases', '295748']
['May 24, 2021', 'active cases', '275108']
['May 25, 2021', 'active cases', '253740']
['May 26, 2021', 'active cases', '246061']
['May 27, 2021', 'active cases', '242040']
['May 28, 2021', 'active cases', '233893']
['May 29, 2021', 'active cases', '236040']
['May 30, 2021', 'active cases', '241514']
['May 31, 2021', 'active cases', '224068']
['Jun 01, 2021', 'active cases', '213743']
['Jun 02, 2021', 'active cases', '204254']
['Jun 03, 2021', 'active cases', '205874']
['Jun 04, 2021', 'active cases', '198070']
['Jun 05, 2021', 'active cases', '191662']
['Jun 06, 2021', 'active cases', '193619']
['Jun 07, 2021', 'active cases', '178594']
['Jun 08, 2021', 'active cases', '166726']
['Jun 09, 2021', 'active cases', '156875']
['Jun 10, 2021', 'active cases', '148545']
['Jun 11, 2021', 'active cases', '139805']
['Jun 12, 2021', 'active cases', '134139']
['Jun 13, 2021', 'active cases', '134786']
['Jun 14, 2021', 'active cases', '132241']
['Jun 15, 2021', 'active cases', '122813']
['Jun 16, 2021', 'active cases', '111968']
['Jun 17, 2021', 'active cases', '102726']
['Jun 18, 2021', 'active cases', '95244']
['Jun 19, 2021', 'active cases', '89361']
['Jun 20, 2021', 'active cases', '89973']
['Jun 21, 2021', 'active cases', '80586']
['Jun 22, 2021', 'active cases', '74036']
['Jun 23, 2021', 'active cases', '68213']
['Jun 24, 2021', 'active cases', '63256']
['Jun 25, 2021', 'active cases', '58599']
['Jun 26, 2021', 'active cases', '55674']
['Jun 27, 2021', 'active cases', '56077']
['Jun 28, 2021', 'active cases', '50539']
