['Oct 11, 2021', 'new cases', '1120']
['Oct 12, 2021', 'new cases', '5880']
['Oct 13, 2021', 'new cases', '5578']
['Oct 14, 2021', 'new cases', '5187']
['Oct 15, 2021', 'new cases', '6099']
['Oct 16, 2021', 'new cases', '4899']
['Oct 17, 2021', 'new cases', '3778']
['Oct 18, 2021', 'new cases', '1057']
['Oct 19, 2021', 'new cases', '5934']
['Oct 20, 2021', 'new cases', '6036']
['Oct 21, 2021', 'new cases', '6127']
['Oct 22, 2021', 'new cases', '6366']
['Oct 23, 2021', 'new cases', '6291']
['Oct 24, 2021', 'new cases', '5005']
['Oct 25, 2021', 'new cases', '1295']
['Oct 26, 2021', 'new cases', '6603']
['Oct 27, 2021', 'new cases', '6528']
['Oct 28, 2021', 'new cases', '6461']
['Oct 29, 2021', 'new cases', '6433']
['Oct 30, 2021', 'new cases', '7360']
['Oct 31, 2021', 'new cases', '6329']
['Nov 01, 2021', 'new cases', '1866']
['Nov 02, 2021', 'new cases', '2039']
['Nov 03, 2021', 'new cases', '10050']
['Nov 04, 2021', 'new cases', '9502']
['Nov 05, 2021', 'new cases', '8998']
['Nov 06, 2021', 'new cases', '9605']
['Nov 07, 2021', 'new cases', '8547']
['Nov 08, 2021', 'new cases', '2197']
['Nov 09, 2021', 'new cases', '12476']
['Nov 10, 2021', 'new cases', '11883']
['Nov 11, 2021', 'new cases', '12603']
['Nov 12, 2021', 'new cases', '3860']
['Nov 13, 2021', 'new cases', '14646']
['Nov 14, 2021', 'new cases', '12496']
['Nov 15, 2021', 'new cases', '3241']
['Nov 16, 2021', 'new cases', '19778']
['Nov 17, 2021', 'new cases', '20294']
['Nov 18, 2021', 'new cases', '20366']
['Nov 19, 2021', 'new cases', '21220']
['Nov 20, 2021', 'new cases', '22678']
['Nov 21, 2021', 'new cases', '19749']
['Nov 22, 2021', 'new cases', '5266']
